正字,異體字
爲,為为
爵,
父,
爸,
爹,
爺,爷
爻,
爽,
爾,尔尒尓
牀,床
牆,墙墻廧
片,
版,板
牌,
牒,
牖,
牘,牍
牙,
牛,牜
牝,
牟,麰
牠,他它
牡,
牢,
牧,
物,
牯,
牲,
牴,抵羝觝
特,
牽,牵
犀,
犁,犂
犄,
犒,
犖,荦
犛,牦氂髦
犢,犊
犧,牺犠
犬,犭
犯,
狀,状
狂,
狄,
狎,
狐,
狗,
狙,
狠,
狡,
狩,
狷,獧
狸,貍
狹,狭陜
狼,
狽,狈
猓,
猖,
猙,狰
猛,
猜,
猥,
猩,
猴,
猶,犹
猷,
猾,獪
猿,猨蝯
獄,狱
獅,狮
獎,奖奬
獐,麞
獗,
獨,独
獰,狞
獲,获
獵,猎猟𤢪
獷,犷
獸,兽獣
獺,獭
獻,献
玀,猡
玄,伭
玆,兹茲
率,
玉,
王,
玖,九
玟,玫珉
玨,
玩,
玫,玟
玲,
玳,瑇
玷,
玻,
珀,
珊,
珍,珎
珠,
班,
珮,
現,现
球,毬
琅,瑯
理,
琉,瑠璢
琊,
琍,
琢,琢
琥,
琦,
琪,
琳,
琴,
琵,
琶,
琺,珐
琿,珲
瑁,
瑕,
瑙,碯
瑚,
瑛,
瑜,
瑞,
瑟,
瑠,琉璢
瑣,琐
瑤,瑶
瑩,莹
瑪,玛
瑯,琅
瑰,
璀,
璃,瓈
璋,
璜,
璣,玑
璦,瑷
璧,
璨,
璩,
環,环
璽,玺壐
瓊,琼
瓏,珑
瓜,
瓠,
瓢,
瓣,弁
瓤,
瓦,
瓶,甁缾
瓷,甆磁
甄,
甌,瓯
甕,瓮罋
甘,
甚,
甜,甛
生,
產,产産
甥,
甦,苏穌
用,
甩,
甫,
甬,埇
甭,
甯,宁寗
田,
由,
甲,
申,
甴,
男,
甸,
町,圢甼
甽,畎
界,堺畍
畏,
畑,
畓,
畔,
留,畄畱
畚,
畜,
畝,亩畆畒畮
畢,毕
略,畧
畦,
番,蹯
畫,划画畵
異,异
畵,画畫
當,当
畸,
畿,
疆,畺
疇,畴
疊,叠畳曡疉迭
疋,匹
疎,䟽疏踈
疏,䟽疎踈
疑,
疙,
疚,
疝,
疤,
疥,
疫,
疲,
疳,
疵,
疹,胗
疼,
疽,
疾,
病,
症,癥
痊,
痔,
痕,
痘,
痙,痉
痛,
痞,
痠,酸
痢,
痣,
痰,
痱,
痲,痳
痳,痲
痹,痺
痿,
瘀,
瘁,
瘉,癒
瘋,疯
瘍,疡
瘓,痪
瘟,
瘠,
瘡,疮
瘤,癅
瘦,痩
瘧,疟
瘩,
瘴,
瘸,
療,疗
癆,痨
癌,
癒,愈瘉
癖,
癘,疠
癟,瘪
癡,痴
癢,痒
癥,症
癩,癞
癬,癣
癮,瘾
癱,瘫
癲,癫瘨
癸,
登,豋
發,发発彂
白,
百,佰
皁,皂
皂,皁
的,
皆,
皇,
皈,歸
皎,㿟皦
皓,皝顥
皖,晥
皚,皑
皮,
皰,疱
皴,
皺,皱縐
皿,
盂,
盃,杯
盆,
盈,
益,
盍,盇
盎,
盒,
盔,
盛,
盜,盗
盞,盏
盟,
盡,尽
監,监
盤,盘
盥,
盧,卢
盪,荡蕩蘯
目,
盯,
盲,
直,値
相,
盹,
盼,
盾,
省,
眉,
看,
眞,真
真,眞
眠,
眨,
眩,
眯,
眶,
眷,
眸,
眺,
眼,
着,著
睇,
睏,困
睛,
睜,睁
睞,睐
睡,
督,
睥,
睦,
睨,
睪,睾
睫,䀹
睬,
睹,覩
睽,
睾,睪皋
睿,叡
瞄,
瞅,矁
瞇,
瞌,
瞎,
瞑,
瞞,瞒
瞟,
瞠,瞪
瞥,苤
瞧,
瞪,眙瞠
瞬,䀢
瞭,了暸
瞰,矙
瞳,
瞻,
瞽,
瞿,䀠
矇,蒙懞朦苎
矓,眬
矗,
矚,瞩
矛,
矜,
矢,笶
矣,
知,
矩,榘
短,
矮,躷
矯,矫
石,𥐘
矽,
砂,
砌,
砍,
研,揅硎硏
砝,
砥,厎
砧,碪
砭,
砰,
砲,炮礮
破,
砷,
砸,
硃,朱
硅,
硏,研
硝,
硫,
硬,峺
确,確
硯,砚
硼,
碁,棊棋
碉,
碌,
碎,砕
碑,碑
碗,椀盌
碘,
碟,
碧,
碩,硕
碰,掽
碳,
確,确
碼,码
碾,
磁,瓷𥔵
磅,
磊,磥
磋,
磐,
磕,
磚,砖甎
磨,
磬,
磯,矶
磴,嶝
磷,
磺,
礁,
礎,础
礙,碍㝵
礦,矿砿鉱鑛
礪,砺
礫,砾
礬,矾
示,礻
社,社
祀,
祁,
祆,
祇,只
祈,祈
祉,祉
祐,佑祐
祕,秘
祖,祖
祗,只
祚,
祝,祝
神,神
祟,
祠,
祥,祥
票,
祭,
祺,禥
祿,禄
禁,
禍,祸禍
禎,祯禎
福,福
禦,御
禧,
禪,禅
禮,礼
禱,祷禂
禹,
禽,
禾,
禿,秃
秀,
私,俬厶
秉,
秋,䆋秌穐鞦龝
种,種
科,
秒,
租,
秣,
秤,
秦,
秧,
秩,
秸,稭
移,迻
稀,
稅,税
稈,秆
程,
稍,
稔,
稚,䕌稺穉
稟,禀廩廪
稠,
種,种
稱,称偁穪
稷,
稻,稲
稼,
稽,𥡞
稿,槀稾
穀,谷糓穀
穆,𥠇
穌,稣甦
積,积
穎,颖頴
穗,穂繐
穡,穑
穢,秽
穩,稳穏㒚
穫,获檴
穴,
究,
穹,
空,
穿,
突,宊突
窄,
窈,
窒,
窓,䆫牕窗窻
窕,
窖,窌
窗,䆫牕窓窻
窘,
窟,
窠,
窩,窝
窪,洼
窮,穷竆
窯,窑窰
窺,窥
窿,
竄,窜
竅,窍
竇,窦
竈,灶
竊,窃
立,
站,
竝,並
竟,
章,
竣,
童,
竭,
端,
競,竞竸誩
竹,
竺,
竽,
竿,𣔼
笆,巴
笑,咲𥬇
笙,
笛,篴
笞,
笠,
符,
笨,㤒
第,
筆,笔
等,朩
筋,觔
筍,笋
筏,栰
筐,筺
筑,築
筒,
答,荅
策,筞
筠,
筵,
筷,
箇,个個
箋,笺牋
箏,筝
箔,
箕,
算,祘筭
箝,鉗钳
管,筦
箭,
箱,
箴,針鍼
箸,筯著
節,节節
篁,
範,范
篆,
篇,
築,筑
篙,
篛,箬
篡,簒
篤,笃
篩,筛簁簛
篷,
篾,
簇,
簍,篓
簑,蓑簔
簞,箪
簡,简耕
簣,篑籄蕢
簧,
簪,𬖂
簫,箫燒箾簘
簷,檐
簸,
簽,签
簾,帘𢅏𢅖
簿,
籃,篮箖
籌,筹
籍,
籐,籘藤
籟,籁
籠,笼篭
籤,签籖
籬,篱
籮,箩
籲,吁龥𥸤
米,
籽,
粉,
粒,
粕,
粗,觕麁麄麤
粘,黏
粟,
粥,鬻
粱,
粳,秔稉
粵,粤
粹,粋
精,
糉,粽糭
糊,
糕,餻
糖,餹
糙,㿷
糜,
糞,粪
糟,醩
糠,穅
糢,
糧,粮
糯,稬穤粫𥻟
糰,团䊜
糸,糹絲纟
系,係繫
糾,纠糺
紀,纪
紂,纣
約,约
紅,红
紇,纥
紉,纫
紊,
紋,纹
納,纳
紐,纽
純,纯
紕,纰
紗,纱
紙,纸帋
級,级𨸚
紛,纷
紜,纭
素,
紡,纺
索,
紫,
紮,扎紥
累,纍
細,细
紳,绅
紹,绍佋
紺,绀
紼,绋
絀,绌
終,终
絃,弦
組,组
絆,绊
結,结
絕,绝絶
絞,绞
絡,络
絢,绚
給,给
絨,绒
絮,
統,统綂
絲,丝糸纟
絹,绢
綁,绑
綏,绥
綑,捆
經,经経𦀇
綜,综
綞,缍
綠,绿緑氯
綢,绸紬
維,维
綰,绾
綱,纲
網,网
綳,绷繃
綴,缀
綵,䌽彩
綸,纶
綺,绮
綻,绽䘺
綽,绰
綾,绫
綿,绵緜
緇,缁
緊,紧
緋,绯
緒,绪緖
緖,緒
緘,缄
線,线缐綫
緝,缉
緞,缎
締,缔
緣,缘縁
編,编
緩,缓
緬,缅
緯,纬
練,练練
緻,致
縈,萦
縊,缢
縑,缣
縛,缚
縣,县県
縫,缝
縮,缩
縱,纵縦
縲,缧纝
縴,纤
縷,缕
總,总総捴揔搃摠緫縂𢰾
績,绩
繁,緐繁
繃,绷綳
繅,缫繰
繆,缪
繐,穗
織,织
繕,缮
繚,缭
繞,绕遶
繡,绣繍綉
繩,绳縄䋲
繪,绘絵缋
繫,系繋
繭,茧
繮,韁缰
繰,缲繅
繳,缴
繹,绎
繼,继継
繽,缤
纂,
續,续続
纏,缠纒
纓,缨
纔,才
纖,纤繊纎
纜,缆䌫
缶,罐
缸,堈罁
缺,欠
罄,
罈,坛墰壜
罐,缶礶鑵
罔,网
罕,
罟,
罩,䈇
罪,辠
置,寘
罰,罚罸
署,署
罵,骂傌駡
罷,罢
罹,
羅,罗
羈,羁羇覉覊
羊,
羋,芈
羌,羗
美,羙
羔,
羚,
羞,
羣,群
羨,羡
義,义
羯,
羲,
羶,膻羴
羸,
羹,羮
羽,
羿,
翁,
翅,翄
翌,
翎,
習,习
翔,
翕,
翟,
翠,翆
翡,
翩,
翰,
翱,翶翺
翳,
翹,翘
翻,繙飜
翼,
耀,曜燿
老,耂
考,攷
者,者
耆,
而,
耍,
耐,耏
耒,
耕,畊簡
耗,秏
耘,秐
耙,鈀
耜,
耳,
耶,
耽,躭
耿,炅炔
聆,
聊,
聖,圣垩堊
聘,
聚,
聞,闻
聯,联聨聫聮
聰,聪聡聦
聱,
聲,声
聳,耸
聶,聂
職,职軄
聽,听聴聼
聾,聋
聿,肀
肄,
肅,肃粛
肆,
肇,肈
肉,宍
肋,
肌,
肓,
肖,
肘,
肚,
肛,
肝,
股,脵𦙶
肢,胑
肥,
肩,
肪,
肫,
肯,肻
肱,厷
育,
肴,餚
肺,
胃,
胄,伷冑
背,揹
胎,
胖,
胚,肧
胛,
胜,勝
胞,脬
胡,衚鬍
胤,
胥,
胭,臙
胰,
胱,
胳,肐𩨘
胴,
胸,胷
能,
脂,
脅,胁脇
脆,脃
脇,脅
脈,脉衇
脊,
脖,
脣,唇
脩,修
脫,脱
脯,
脹,胀痮
脾,
腆,
腊,臈臘
腋,
腎,肾
腐,
腑,
腔,
腕,𦙵
腥,
腦,脑脳匘
腫,肿尰
腮,顋
腰,𦝫
腱,
腳,脚
腸,肠膓
腹,
腺,
腿,骽
膀,
膈,
膊,
膏,
膚,肤
膛,
膜,
膝,
膠,胶
膨,
膩,腻
膳,饍
膺,
膽,胆
膾,脍鱠
膿,脓
臀,
臂,
臃,
臆,
臉,脸
臊,𦞣
臍,脐
臏,膑髌髕
臘,腊臈
臚,胪髗
臟,脏臓
臣,
臥,卧
臧,
臨,临
自,
臬,
臭,臭
至,
致,緻
臺,台
臻,
臼,
臾,
舀,抌
舂,
舅,
與,与
興,兴㒷
舉,举挙㪯擧
舊,旧
舌,
舍,捨舎
舎,舍
舐,舓
舒,
舔,餂
舖,舗鋪
舗,舖鋪
舛,
舜,
舞,
舟,
舢,
舨,
航,桁
舫,
般,
舵,柁
舶,艊
舷,
船,舩
艇,
艘,
艙,舱
艦,舰
艮,
良,
艱,艰
色,
艶,艳艷豓豔
艷,艳艶豓豔
艾,
芋,
芍,
芒,杧
芙,
芝,
芟,𠚹
芥,
芬,
芭,巴
芯,
花,蘤
芳,
芹,
芻,刍蒭𦷝
芽,
苑,菀
苒,
苓,
苔,薹
苗,
苛,
苜,
苞,
苟,茍
苣,
若,
苦,
苧,苎薴
英,
苹,蘋
茁,
茂,楙
范,範
茄,
茅,泖茆
茉,
茗,
茨,
茫,
茬,
茱,
茲,兹玆
茴,
茵,
茶,
茸,
茹,
荀,
荃,
草,艸艹
荊,荆
荏,
荐,薦
荒,
荔,栛茘
荷,
荸,
荻,
荼,
莉,
莊,庄荘
莎,
莒,
莓,苺
莖,茎
莘,
莞,
莠,
莢,荚
莫,
莽,
菁,
菅,
菇,苽菰𦱄
菊,
菌,
菓,果
菜,
菠,
菩,
華,华崋
菰,苽菇
菱,
菲,
菴,庵
菸,煙烟
菽,
萃,
萄,
萊,莱
萋,
萌,萠
萍,
萎,荽
萬,万卍
萱,萲
萵,莴
萸,
萼,蕚𦹛
落,
葉,叶
著,着箸著
葛,
葡,
董,
葦,苇
葩,
葫,
葬,塟
葯,药藥
葵,
葷,荤
蒂,
蒐,搜
蒙,懞朦濛矇苎
蒜,
蒞,莅涖𦲷
蒲,莆
蒸,烝
蒼,苍
蒿,
蓀,荪
蓄,
蓆,席
蓉,
蓋,盖葢
蓑,簑
蓓,
蓬,
蓮,莲
蓿,
蔑,衊
蔓,
蔔,卜菔
蔗,
蔘,参
蔚,嶎
蔡,
蔣,蒋
蔥,葱
蔬,
蔭,荫䕃廕
蔽,芘菝萆
蕃,
蕈,
蕉,
蕊,蕋蘂
蕙,
蕨,
蕩,荡偒盪蘯
蕪,芜
蕭,萧
蕾,
薄,
薇,
薑,姜葁
薔,蔷
薛,
薜,
薦,荐
薩,萨
薪,
薯,藷
薰,熏薫
薹,苔
藉,借
藍,蓝
藏,蔵
藐,
藕,
藝,艺芸兿埶秇蓺
藤,籐
藥,药薬葯
藩,
藪,薮籔
藹,蔼
藺,蔺
藻,
蘆,芦
蘇,苏囌蘓
蘊,藴蕴
蘋,苹
蘑,藦
蘗,檘蘖
蘚,藓
蘭,兰
蘸,
蘿,萝
虎,乕
虐,䖈
虔,䖍
處,处処䖏
虛,虚
虜,虏擄虜
虞,𩦢
號,号
虧,亏
虫,蟲
虯,虬
虱,蝨
虹,
蚊,蚉螡蟁
蚌,
蚓,螾
蚣,
蚤,䖣
蚩,
蚪,虬
蚯,
蚱,
蚵,
蚶,
蛀,
蛄,蛌
蛆,𧐅
蛇,
蛋,旦疍蜑
蛔,蚘蛕蜖
蛙,鼃
蛛,鼄
蛟,
蛤,
蛭,
蛹,
蛻,蜕
蛾,
蜀,
蜂,蠭
蜃,
蜇,𧋍
蜈,
蜒,
蜓,
蜘,鼅
蜚,
蜜,
蜡,䄍蠟
蜢,
蜥,
蜴,
蜻,
蜿,
蝌,
蝕,蚀
蝗,
蝙,
蝟,猬
蝠,
蝦,虾鰕
蝨,虱
蝴,
蝶,蜨
蝸,蜗
螂,蜋
螃,
融,螎
螞,蚂
螟,
螢,萤蛍
螫,
螳,螗
螺,蠃
螻,蝼
蟀,蜶
蟆,蟇
蟈,蝈
蟋,
蟑,
蟒,蠎
蟬,蝉
蟯,蛲
蟲,虫
蟹,蠏
蟻,蚁螘
蠅,蝇蝿
蠍,蝎
蠔,蚝𧐢
蠕,
蠟,蜡蝋
蠡,
蠢,惷
蠣,蛎
蠱,蛊
蠶,蚕𧕽𧖟
蠹,蠧
蠻,蛮
血,
衆,眾众
衊,蔑
行,
衍,
術,术
衕,同
街,亍
衙,
衚,胡
衛,衞卫
衝,冲𧘂
衡,
衢,
衣,
表,錶
衫,
衰,
衷,
袁,
袂,
袈,
袋,帒
袍,
袒,襢
袖,褎
袞,衮
被,
袱,
裁,
裂,
裊,袅嫋嬝
裏,裡里
裔,
裕,
裘,
裙,帬裠
補,补
裝,装
裟,
裨,
裳,
裴,裵
裸,躶
裹,
製,制
裾,
褂,
複,复復
褐,褐
褒,襃
褓,緥褴
褚,
褥,
褪,
褫,裭
褲,裤絝綯绔袴
褶,
褸,褛
褻,亵䙝褺
襄,㐮
襖,袄澳𥜌
襟,衿
襠,裆
襤,褴繿
襪,袜韈韤
襬,䙓摆
襯,衬儭
襲,袭
西,
要,
覃,
覆,复復
覈,核
見,见
規,规槻
覓,觅覔
視,视眎視
覦,觎
親,亲
覬,觊
覲,觐
覺,觉覚斍覐
覽,览覧
觀,观観覌
角,甪
解,觧
觴,觞
觸,触
言,訁讠
訂,订
訃,讣
計,计
訊,讯
訌,讧
討,讨
訐,讦
訓,训
訕,讪
訖,讫
託,托讬侂
記,记
訛,讹譌
訝,讶
訟,讼
訣,诀
訥,讷吶
訪,访
設,设
許,许
訴,诉愬
診,诊
註,注
証,证證
詁,诂
詆,诋
詐,诈
詔,诏
評,评
詛,诅
詞,词
詠,咏
詢,询
詣,诣
試,试
詩,诗
詫,诧
詬,诟訽
詭,诡
詮,诠
詰,诘
話,话䛡
該,该
詳,详
詹,
詼,诙
誅,诛
誇,夸侉
誌,志
認,认
誑,诳
誓,
誕,诞𧩙
誘,诱䛻
語,语
誠,诚
誡,诫
誣,诬
誤,误悞
誥,诰
誦,诵
誨,诲
說,説说
誰,谁
課,课
誹,诽
誼,谊
調,调
諂,谄
諄,谆
談,谈譚
諉,诿餵
請,请
諍,诤
諒,谅
論,论
諜,谍
諦,谛
諧,谐龤
諫,谏𫍝諌
諭,谕
諮,咨谘
諱,讳
諷,讽
諸,诸諸
諺,谚
諾,诺
謀,谋
謁,谒謁
謂,谓
謄,誊
謊,谎詤
謎,谜
謗,谤
謙,谦
講,讲
謝,谢
謠,谣謡
謨,谟
謬,谬
謹,谨謹
譁,哗嘩
證,证証
譎,谲憰
譏,讥
識,识
譚,谭談
譜,谱諩
譟,噪
警,儆
譬,
譭,毁䛼
譯,译訳
議,议
譴,谴
護,护
譽,誉
讀,读読
變,变変
讎,雠仇讐
讒,谗
讓,让譲
讖,谶
讚,赞讃
谷,穀
谿,嵠
豁,
豆,荳
豈,岂
豉,
豌,
豎,竖竪
豐,丰豊
豔,艳艶艷豓
豕,
豚,豘
象,
豢,
豪,
豫,予預
豬,猪
豹,
豺,犲
貂,
貉,狢
貊,貘
貌,皃
貍,狸
貓,猫
貝,贝
貞,贞
負,负
財,财㒲
貢,贡
貧,贫
貨,货
販,贩𧶶
貪,贪
貫,贯
責,责
貯,贮
貲,赀
貳,贰弐二弍
貴,贵
貶,贬
買,买𧹒
貸,贷
費,费
貼,贴
貽,贻
貿,贸
賀,贺
賁,贲
賂,赂
賃,赁
賄,贿
賅,赅侅賌
資,资
賈,贾
賊,贼戝
賑,赈
賒,赊賖
賓,宾賔賓
賙,赒周
賜,赐
賞,赏
賠,赔
賢,贤贒
賣,卖売𧶠
賤,贱
賦,赋
質,质貭
賬,账帳𧹔
賭,赌
賴,赖頼
賺,赚贃
購,购
賽,赛
贅,赘
贈,赠贈
贊,赞賛
贍,赡
贏,赢
贓,赃賍贜
贖,赎
贗,贋赝偐
贛,赣
赤,𤆍
赦,
赧,𧹞
赫,
赭,
走,赱
赳,
赴,
起,
趁,趂
超,
越,
趕,赶
趙,赵
趟,
趣,
趨,趋
足,
趴,
趾,
跆,
跋,
跌,
跎,𧿶
跑,
跚,
跛,
距,
跟,
跡,迹蹟
跤,
跨,
跪,
路,
跳,趒
跺,跥
跼,
踊,踴
踏,蹋
踐,践
踝,
踟,
踢,
踩,
踪,蹤
踫,
踱,
踵,歱
踹,跴
蹂,
蹄,蹏
蹈,
蹉,
蹊,
蹋,踏蹹
蹙,
蹟,迹跡
蹣,蹒
蹤,踪踨
蹦,
蹬,
蹭,
蹲,
蹴,蹵
蹶,
蹺,跷屩蹻
蹼,
躁,趮
躂,跶
躅,䠱
躇,
躉,趸
躊,踌
躍,跃趯
躑,踯
躡,蹑
躪,躏
身,
躬,躳
躭,眈耽
躲,躱
躺,
軀,躯
車,车
軋,轧
軌,轨
軍,军
軒,轩
軔,轫
軛,轭
軟,软輭
軸,轴
軻,轲
軼,轶
軾,轼
較,较
載,载
輊,轾
輒,辄輙
輓,挽
輔,辅
輕,轻軽
輛,辆輌
輜,辎輺
輝,辉煇
輟,辍
輦,辇
輩,辈軰
輪,轮
輯,辑
輸,输
輻,辐
輾,辗
輿,舆轝
轂,毂
轄,辖鎋
轅,辕
轉,转転
轍,辙
轎,轿
轔,辚
轟,轰軣
轡,辔
辛,
辜,
辟,避闢
辣,辢
辦,办
辨,弁辧辯
辭,辞辤
辮,辫
辯,辩弁辨
辰,
辱,
農,农莀
込,
迂,遇
迄,
迅,
迆,
迎,
近,
返,
迢,
迤,
迥,逈
迦,
迪,廸
迫,廹
迭,疊
述,
迴,回廻
迷,
迸,逬
迺,乃廼
追,
退,
送,
适,適
逃,迯
逅,
逆,
逍,
透,
逐,
途,
逕,迳徑
逖,逷
逗,
這,这
通,
逛,
逝,
逞,
速,
造,
逢,
連,连
逮,迨
週,周
進,进
逵,
逸,逸
逼,偪
逾,踰
遁,
遂,
遇,迂
遊,游
運,运
遍,徧
過,过
遏,
遐,
遑,徨
道,
達,达逹
違,违
遘,
遙,遥
遜,逊愻
遞,递逓
遠,远逺
遡,溯泝
遣,
遨,
適,适
遭,蹧
遮,
遲,迟遅遟
遴,
遵,
遷,迁
選,选
遺,遗
遼,辽
遽,
避,辟
邀,
邁,迈
邂,
還,还
邇,迩
邊,边辺邉
邏,逻
邐,逦
邑,
邕,雍𪪝
邢,郉
那,
邦,
邨,村
邪,
邱,
邵,
邸,
郁,喐鬱
郊,
郎,郞
郞,郎
郡,
部,卩
郭,
郵,邮
都,都
鄂,
鄉,乡郷鄕
鄒,邹
鄕,郷鄉
鄙,
鄧,邓
鄭,郑
鄰,邻隣
鄱,
鄹,郰
酉,丣
酊,
酋,
酌,
配,
酎,
酒,
酗,
酢,醋
酣,
酥,
酩,
酪,
酬,詶酧醻
酵,
酷,
酸,痠
醃,腌
醇,䣩
醉,酔
醋,酢
醒,
醜,丑
醞,醖酝
醣,糖
醫,医
醬,酱醤
醺,
釀,酿醸
釁,衅
采,埰寀採釆
釉,
釋,释釈
里,裏裡
重,
野,埜
量,
釐,厘
金,釒钅
釗,钊
釘,钉
釜,釡
針,针箴鍼
釣,钓
釦,扣
釧,钏
釵,钗
鈅,钥
鈉,钠
鈍,钝
鈐,钤
鈔,钞
鈕,纽钮
鈞,钧銁
鈡,钟鍾
鈣,钙
鈴,铃
鈷,钴
鈸,钹
鈽,钸
鈾,铀
鉀,钾
鉅,巨钜
鉆,钻鉗鑽
鉋,铇刨
鉑,铂
鉗,钳箝鉆
鉛,铅鈆
鉢,缽钵
鉤,鈎钩
鉸,铰
鉻,铬
銀,银
銃,铳
銅,铜
銓,铨
銖,铢
銘,铭
銜,衔㘅
銬,铐
銳,鋭锐
銷,销
銻,锑
銼,锉
鋁,铝
鋅,锌
鋒,锋
鋤,锄耡鉏
鋪,铺舖舗
鋭,锐銳
鋸,锯
鋼,钢
錄,录録
錐,锥
錘,锤鎚
錚,铮
錠,锭
錢,钱銭
錦,锦
錨,锚
錫,锡
錮,锢
錯,错
錳,锰
錶,表
鍊,炼链𫔀錬
鍋,锅
鍍,镀
鍛,锻煅
鍥,锲
鍬,锹鍫
鍰,锾鐶
鍵,键
鍼,针箴針
鍾,钟锺鈡鐘
鎂,镁
鎅,
鎊,镑
鎌,镰鐮
鎔,镕熔
鎖,锁鎻鏁
鎢,钨
鎬,镐
鎭,镇鎮
鎮,镇鎭
鎳,镍
鏃,镞
鏈,链
鏍,镙
鏑,镝
鏖,
鏗,铿
鏘,锵
鏚,戚
鏜,镗鐺
鏝,镘
鏟,铲剗剷
鏡,镜
鏢,镖鑣
鏤,镂
鏽,锈銹鏥
鐃,铙
鐘,钟鍾
鐮,镰劆鎌
鐲,镯
鐳,镭
鐵,铁鉄銕鐡
鐸,铎鈬
鐺,铛鏜
鑄,铸鋳
鑑,鉴鑒
鑒,鉴鑑
鑛,鉱礦
鑠,铄
鑣,镳鏢
鑰,钥
鑲,镶
鑼,锣
鑽,钻鉆鑚
鑾,銮
鑿,凿
長,长
門,门
閂,闩
閃,闪
閉,闭閇
開,开𫔭
閏,闰閠
閑,闲閒
閒,闲𫔮閑間
間,间閒
閔,闵
閘,闸
閡,阂
閣,阁
閤,合闔阖
閥,阀
閨,闺
閩,闽
閭,闾
閱,閲阅
閻,阎閆闫
闆,板
闇,暗
闈,闱
闊,阔濶
闋,阕
闌,阑
闐,阗
闔,阖閤
闖,闯
關,关関寡闗
闡,阐
闢,辟
阜,
阡,仟
阪,坂
阮,
阱,穽
防,
阻,
阿,
陀,陁
附,
陋,
陌,
降,夅
限,
陛,
陝,陕陜
陡,阧
院,
陣,阵𨸬
除,
陪,
陰,阴隂霒𩃬
陲,
陳,陈
陴,
陵,
陶,匋
陷,陥
陸,陆
陽,阳昜氜
隅,
隆,隆
隊,队
隋,陏
隍,堭
階,阶堦
隔,
隕,陨殒殞磒
隘,
隙,郄𨻶
際,际
障,
隣,鄰
隧,𡑞
隨,随
險,险険礆
隱,隐隠乚
隴,陇
隷,隸
隸,隶隷
隻,只
雀,
雁,鳫鴈
雄,
雅,
集,亼
雇,僱
雉,
雋,隽
雌,
雍,邕𪪝
雕,㓮彫琱鵰
雖,虽
雙,双
雛,雏鶵
雜,杂雑襍
雞,鸡鶏鳮鷄
離,离
難,难難
雨,
雪,
雯,
雰,
雲,云
零,
雷,
雹,
電,电
需,
霄,
霆,
震,
霉,黴
霍,癨
霎,
霏,
霑,
霓,蜺
霖,
霜,孀
霞,
霧,雾
霪,
露,
霸,覇
霹,
霽,霁
霾,
靂,雳
靄,霭
靈,灵霊
靑,青
青,靑
靖,
靚,靓靜
靛,
靜,静靚
非,
靠,
靡,
面,麪麵
靦,䩄腼覥
靨,靥
革,
靴,鞾
靶,
靼,
鞅,
鞋,鞵𩋘
鞍,鞌
鞏,巩
鞘,韒
鞠,
鞣,
鞦,秋鞧
鞭,
韃,鞑
韆,千
韋,韦
韌,韧肕靭靱
韓,韩
韜,韬弢
韭,韮
音,
韶,
韻,韵
響,响響
頁,页
頂,顶𩠑
頃,顷
項,项
順,顺
須,须湏
頊,顼
頌,颂
預,预豫
頑,顽
頒,颁朌
頓,顿
頗,颇
領,领
頡,颉
頤,颐頉頣
頬,頰
頭,头
頰,颊頬
頷,颔
頸,颈頚
頹,颓頽
頻,频頻
顆,颗
題,题
額,额頟
顎,颚齶
顏,颜顔
顓,颛
願,愿𫖸
顛,颠顚
類,类類𩔗
顧,顾頋
顫,颤
顯,显顕
顰,颦嚬
顱,颅髗
風,风凨
颯,飒
颱,台
颳,刮
颶,飓
颺,飏
颼,飕䬒
飄,飘飃
飛,飞
飜,翻
食,饣
飢,饥饑
飧,飱
飩,饨
飪,饪䏕䭃餁
飭,饬
飮,飲饮
飯,饭飰
飲,饮飮
飴,饴
飼,饲飤
飽,饱
飾,饰餙餝
餃,饺
餅,饼餠
餉,饷饟
養,养
餌,饵
餐,
餒,馁餧
餓,饿
餘,余馀
餚,肴
餛,馄餫
餞,饯
餡,馅
館,馆舘
餵,喂𫗭諉
餸,𩠌
餽,饋馈
餾,馏
餿,馊
饃,馍
饅,馒
饋,馈櫃餽
饑,饥飢
饒,饶
饜,餍
饞,馋嚵
首,
香,
馥,
馨,
馬,马
馭,驭御
馮,冯
馱,驮䭾駄
馳,驰
馴,驯
駁,驳駮
駄,馱
駐,驻
駑,驽
駒,驹
駕,驾
駙,驸
駛,驶𩢲
駝,驼駞
駟,驷
駢,骈騈
駭,骇
駱,骆
駿,骏
騁,骋
騎,骑
騖,骛
騙,骗騗
騫,骞
騮,骝驑
騰,腾駦
騷,骚騒
騾,骡驘
驀,蓦
驃,骠
驅,驱駆敺駈𢿛
驕,骄
驗,验験騐
驚,惊
驛,驿駅
驟,骤
驢,驴馿
驣,
驥,骥
驪,骊
骨,
骯,肮
骰,
骷,
骸,
骼,
髏,髅
髒,脏
髓,髄膸
體,体躰軆骵
高,髙
髦,氂牦犛
髭,
髮,发髪
髯,髥
髻,䯻
鬃,騌騣骔
鬆,松
鬍,胡
鬚,须
鬢,鬓鬂
鬥,斗闘鬦鬪鬬鬭
鬧,闹閙
鬨,哄閧
鬪,闘鬥鬦鬬鬭
鬱,郁欝鬰
鬲,
鬼,
魁,
魂,䰟
魄,
魅,
魏,巍
魔,
魘,魇
魚,鱼
魯,鲁
魷,鱿鰌鰍
鮑,鲍
鮪,鲔
鮫,鲛
鮮,鲜尟尠鱻
鯉,鲤
