正字,異體字
唇,脣
唉,欸誒诶
唐,
唔,
唧,喞
唬,猇虓諕
售,
唯,
唱,
唳,
唷,唹
唸,念
唾,涶
啁,
啃,齦
啄,
商,
啊,
問,问
啓,啟启啔
啕,咷
啖,㗖啗噉
啜,欼歠諁
啞,哑唖瘂
啡,
啣,㘅
啤,
啥,
啦,
啪,
啻,
啼,嗁
啾,
喀,
喂,餧餵
喃,娚嫐諵
善,譱
喇,
喉,
喊,
喋,
喔,
喘,
喚,唤
喜,憙
喝,喝
喟,
喧,吅諠
喩,喻
喪,丧
喫,吃
喬,乔
單,单単
喱,
喲,哟
喳,
喻,喩
嗅,齅
嗆,呛
嗇,啬
嗎,吗
嗑,
嗓,
嗚,呜
嗜,
嗟,
嗡,
嗣,
嗤,
嗥,嘷嚎
嗦,
嗨,
嗯,
嗷,
嗽,瘶
嗾,
嘀,
嘆,歎叹嘆
嘈,䜊
嘉,
嘍,喽謱
嘎,尜
嘔,呕
嘖,啧
嘗,尝甞
嘛,
嘟,
嘩,哗譁
嘮,唠
嘯,啸嘨歗
嘰,叽
嘲,
嘴,咀觜
嘶,
嘹,
嘻,
嘿,默
噁,恶
噎,
噓,嘘
噗,
噙,
噢,
噤,
噥,哝
器,噐器
噩,
噪,喿譟
噫,
噬,
噯,嗳
噱,
噴,喷呠歕
噸,吨
噹,当𪠽
嚀,咛
嚅,
嚇,吓
嚎,嗥噑
嚏,嚔
嚐,尝
嚕,噜
嚥,咽
嚨,咙
嚮,向
嚴,严厳
嚶,嘤
嚷,
嚼,
囀,啭
囁,嗫讘
囂,嚣嚻
囈,呓
囉,啰罗
囊,嚢
囌,苏蘇
囑,嘱
囚,
四,
回,囘囬廻迴逥
因,
囤,𥫱
囪,囱
困,睏
固,
圃,
圈,圏
國,国囯圀
圍,围囲
園,园
圓,圆円圎
圖,图図圕
團,团団
土,
在,
圬,杇
圭,珪
圯,
地,
圳,
圾,
址,阯
坂,阪
均,
坊,
坍,
坎,埳
坏,坯壞
坐,座
坑,阬
坡,
坤,堃
坦,
坩,
坪,
坯,坏壊壞
坷,
坼,
垂,埀
垃,
型,
垛,垜
垠,圻
垢,
垣,
垮,
埂,
埃,
埋,
城,
埔,
域,㽣
埠,
埤,
執,执
培,
基,
埼,崎
堀,
堂,
堅,坚
堆,
堊,垩聖
堡,
堤,隄
堪,
堯,尧尭
堰,
報,报
場,场塲
堵,
塀,塀
塊,块凷
塌,
塑,塐
塔,㙮墖
塗,涂凃
塘,
塚,冢塚
塞,
塢,坞鄔隖隝
填,塡
塭,
塵,尘
塹,堑壍
塾,
墀,
境,
墅,
墊,垫
墓,
墜,坠
增,増
墟,
墨,墨
墩,墪
墮,堕
墳,坟坆
墻,墙廧牆
墾,垦
壁,
壅,
壇,坛
壑,
壓,压圧
壕,
壘,垒塁
壙,圹
壞,坏壊坯
壟,垄
壢,坜
壤,壌
壩,坝垻
士,
壬,
壯,壮
壹,壱一弌
壺,壶壷
壽,寿夀
夏,
夔,
夕,
外,
夙,
多,夛
夜,亱
夠,够彀
夢,梦夣
夤,
夥,伙
大,
天,靝
太,
夫,伕
夭,殀
央,
夯,䂫
失,
夷,
夸,誇
夾,夹
奄,
奇,竒
奈,柰
奉,
奎,㚝奞
奏,
奐,奂
契,
奔,犇逩
奕,弈
套,
奘,弉
奚,
奠,
奢,
奧,奥
奩,奁匳
奪,夺
奬,奖奨獎
奮,奋
女,
奴,
奶,妳嬭
奸,姦
她,他
好,
妁,
如,
妃,
妄,
妊,姙
妍,姸
妒,妬
妓,
妖,
妙,玅
妝,粧妆
妞,
妣,
妤,伃
妥,
妨,
妬,妒
妮,
妯,
妳,你奶嬭
妹,
妻,
妾,
姆,姥
姉,姊
姊,姉
始,
姍,姗
姐,
姑,
姒,
姓,
委,
姘,
姚,
姜,薑
姣,㚣
姥,姆
姦,奸
姨,
姪,侄
姫,姬
姬,姫
姻,婣
姿,
威,
娃,
娌,
娑,
娓,
娘,嬢孃
娛,娱娯
娜,
娟,姢
娠,㛛
娣,
娥,
娩,㝃嬎嬔
娯,娛
娶,
娼,
婀,娿
婁,娄
婆,
婉,
婊,
婚,
婢,
